horse_id,horse_name,sex,trainer,trainer_id,sire,sire_id,dam,dam_id,sire_of_dam,bms_id,owner,breeder,total_prize,sire_birth_year,dam_birth_year,bms_birth_year
2025107890,プリマーベルの2025,牝,,,サリオス,2017105327,プリマーベル,2013104442,キングカメハメハ,2001103460,,マリオステーブル,0.0,2017.0,2013.0,2001.0
2025107889,ブルーパラダイスの2025,牝,,,アジアエクスプレス,2011110091,ブルーパラダイス,2015105519,ロードカナロア,2008103552,,マリオステーブル,0.0,2011.0,2015.0,2008.0
2025107888,ブルージャーニーの2025,牡,,,モーニン,2012110091,ブルージャーニー,2013106471,カジノドライヴ,2005110112,,マリオステーブル,0.0,2012.0,2013.0,2005.0
2025107887,ビューティサンの2025,牡,,,オナーコード,000a01372e,ビューティサン,2009101650,フジキセキ,1992109618,,マリオステーブル,0.0,2011.0,2009.0,1992.0
2025107886,ビアンコカンドーレの2025,牡,,,モーニン,2012110091,ビアンコカンドーレ,2011104025,チチカステナンゴ,000a011135,,マリオステーブル,0.0,2012.0,2011.0,1998.0
2025107885,ネオイリスの2025,牡,,,モーニン,2012110091,ネオイリス,2018106839,ネオユニヴァース,2000101426,,マリオステーブル,0.0,2012.0,2018.0,2000.0
2025107884,ニシノプルメリアの2025,牝,,,モーニン,2012110091,ニシノプルメリア,2006102600,Singspiel,1992190005,,マリオステーブル,0.0,2012.0,2006.0,1992.0
2025107883,ドリームボールの2025,牡,,,ベストウォーリア,2010110127,ドリームボール,2021107304,サンダースノー,000a013a06,,マリオステーブル,0.0,2010.0,2021.0,2014.0
2025107882,トモロネヴァノウズの2025,牝,,,サトノダイヤモンド,2013106101,トモロネヴァノウズ,2007104270,ブライアンズタイム,000a000082,,マリオステーブル,0.0,2013.0,2007.0,1985.0
2025107881,ディーズプリンセスの2025,牝,,,モーニン,2012110091,ディーズプリンセス,2009106904,ゴールドアリュール,1999106689,,マリオステーブル,0.0,2012.0,2009.0,1999.0
2025107880,ジュンダイハードの2025,牡,,,モーニン,2012110091,ジュンダイハード,2018106902,エイシンヒカリ,2011101273,,マリオステーブル,0.0,2012.0,2018.0,2011.0
2025107879,シーサイドチャペルの2025,牝,,,モーニン,2012110091,シーサイドチャペル,2013105543,シンボリクリスエス,1999110099,,マリオステーブル,0.0,2012.0,2013.0,1999.0
2025107878,シレリアナの2025,牝,,,モーニン,2012110091,シレリアナ,2017106737,ネオユニヴァース,2000101426,,マリオステーブル,0.0,2012.0,2017.0,2000.0
2025107877,シャドウアルテミスの2025,牝,,,ジュンライトボルト,2017105396,シャドウアルテミス,2018104625,エイシンフラッシュ,2007102951,,マリオステーブル,0.0,2017.0,2018.0,2007.0
2025107876,ケンブリッジヒカリの2025,牡,,,エスポワールシチー,2005102837,ケンブリッジヒカリ,2012101570,アドマイヤムーン,2003102991,,マリオステーブル,0.0,2005.0,2012.0,2003.0
2025107875,グローリールピナスの2025,牡,,,チュウワウィザード,2015104879,グローリールピナス,2006104267,マーベラスサンデー,1992103687,,マリオステーブル,0.0,2015.0,2006.0,1992.0
2025107874,グレイスフルワードの2025,牝,,,ジュンライトボルト,2017105396,グレイスフルワード,2012103646,ハーツクライ,2001103038,,マリオステーブル,0.0,2017.0,2012.0,2001.0
2025107873,グラナダの2025,牡,,,ダノンプレミアム,2015102367,グラナダ,2012102295,Galileo,000a00232b,,マリオステーブル,0.0,2015.0,2012.0,1998.0
2025107872,ヴィルフランシュの2025,牝,,,モーニン,2012110091,ヴィルフランシュ,2012104927,ハーツクライ,2001103038,,マリオステーブル,0.0,2012.0,2012.0,2001.0
2025107871,アンドローラの2025,牡,,,シルバーステート,2013105903,アンドローラ,2017106752,ネオユニヴァース,2000101426,,マリオステーブル,0.0,2013.0,2017.0,2000.0
2025107870,アイナの2025,牡,,,インティ,2014104052,アイナ,2012100723,ステイゴールド,1994108729,,松浦牧場,0.0,2014.0,2012.0,1994.0
2025107869,オースオブゴールドの2025,牝,,,ダノンプレミアム,2015102367,オースオブゴールド,2015104885,オルフェーヴル,2008102636,,大作ステーブル,0.0,2015.0,2015.0,2008.0
2025107868,エスプリドパリの2025,牝,,,ダノンレジェンド,2010110102,エスプリドパリ,2012104348,ハーツクライ,2001103038,,大作ステーブル,0.0,2010.0,2012.0,2001.0
2025107867,ビーナスオンシェルの2025,牝,,,ウィルテイクチャージ,000a01372f,ビーナスオンシェル,2008101941,ハーツクライ,2001103038,,シンカンファーム,0.0,2010.0,2008.0,2001.0
2025107866,スカイプラネットの2025,牡,,,タリスマニック,000a013425,スカイプラネット,2008104350,ネオユニヴァース,2000101426,,シンカンファーム,0.0,2013.0,2008.0,2000.0
2025107865,サヤノルージュの2025,牝,,,タリスマニック,000a013425,サヤノルージュ,2017100267,ハタノヴァンクール,2009102350,,シンカンファーム,0.0,2013.0,2017.0,2009.0
